code,name,produkmui,manufacture,cert_code,nilai,label,ingredients,ingredients_lama,ing0,ing1,ing2,ing3,ing4,ing5,ing6,ing7,ing8,ing9,ing10,ing11,ing12,ing13,ing14,ing15,ing16,ing17,ing18,ing19,ing20,ing21,ing22,ing23,ing24,ing25,ing26,ing27,ing28,ing29,ing30,ing31,ing32,cert_bodies,expired,cert_bodyname,homepage,location,status
95,Dua Kelinci Kacang Polong Polongku Original,Dua kelinci kacang polong (original),Pt. dua kelinci,00100017571001,"0,5",1,"kacang polong,minyak sawit,tepung tapioka,pati jagung,whey bubuk,kecap bubuk,perisa sintetik daging sapi bbq,daging ayam bubuk,protein nabati terhidrolisis,minyak kedelai,asesulfam-k,aspartam,antioksidan tokoferol,dinatrium Inosinat,dinatrium guanilat,pati termodifikasi,natrium bikarbonat,gula,susu bubuk,telur bubuk","kacang polong (.%), minyak sawit (mengandung antioksidan tbhq (e)), tepung tapioka, pati jagung, bumbu mengandung whey bubuk, kecap bubuk, perisa sintetik daging sapi bbq, daging ayam bubuk, protein nabati terhidrolisis, minyak kedelai, pemanis buatan asesulfam-k (e), aspartam (e), antioksidan tokoferol (e), penguat rasa dinatrium inosinat (e), dinatrium guanilat (e), pati termodifikasi, pengembang natrium bikarbonat (e(ii)), gula, susu bubuk, telur bubuk.",kacang polong , minyak sawit mengandung antioksidan tbhq e, tepung tapioka, pati jagung, bumbu mengandung whey bubuk, kecap bubuk, perisa sintetik daging sapi bbq, daging ayam bubuk, protein nabati terhidrolisis, minyak kedelai, pemanis buatan asesulfamk e, aspartam e, antioksidan tokoferol e, penguat rasa dinatrium inosinat e, dinatrium guanilat e, pati termodifikasi, pengembang natrium bikarbonat eii, gula, susu bubuk, telur bubuk,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
96,Budy Jam Selai Kacang,Selai kacang budy jam,Bersama cipta mandiri pt,01251001090405,"0,5",1,"kacang tanah,gula,lemak nabati,antioksidan tokoferol,pengemulsi nabati,monodigliserida asam lemak,garam,antioksidan bht","kacang tanah, gula, lemak nabati (mengandung antioksidan tokoferol), pengemulsi nabati (mono dan digliserida asam lemak), garam, antioksidan bht.",kacang tanah, gula, lemak nabati mengandung antioksidan tokoferol, pengemulsi nabati mono dan digliserida asam lemak, garam, antioksidan bht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
97,Pak Tani Gunung Tepung Tapioka,Tepung tapioka ibu tani gunung,Cv. tani tepung milioner,00220116590321,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
101,Smax Snack Ring Rasa Keju,Snack ring rasa keju merk ppuff,Nomnom,01101224090219,"0,5",1,"jagung,minyak nabati,beras,bumbu rasa keju,Inosinat,guanilat,pewarna makanan tartrazin ci,gula dadih bubuk,susu skim bubuk,garam,mononatrium glutamat,pewarna makanan kuning fcf ci","jagung, minyak nabati (mengandung antioksida tbhq), beras, bumbu rasa keju (mengandung bubuk keju .%), penguat rasa inosinat dan guanilat, pewarna makanan tartrazin ci , gula dadih bubuk, susu skim bubuk, garam, penguat rasa mononatrium glutamat, pewarna makanan kuning fcf ci .",jagung, minyak nabati mengandung antioksida tbhq, beras, bumbu rasa keju mengandung bubuk keju , penguat rasa inosinat dan guanilat, pewarna makanan tartrazin ci , gula dadih bubuk, susu skim bubuk, garam, penguat rasa mononatrium glutamat, pewarna makanan kuning fcf ci ,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
104,Dua Kelinci Kacang Sukro Bbq,Sukro kacang bersalut rasa bbq,Pt. dua kelinci,00100017571001,"0,5",1,"tapioka,kacang tanah,minyak sawit,bawang putih,gula,garam,mononatrium glutamat,bumbu bbq,aspartam","tapioka, kacang tanah, minyak sawit, bawang putih, gula, garam, penguat rasa mononatrium glutamat, bumbu bbq, pemanis buatan aspartam.",tapioka, kacang tanah, minyak sawit, bawang putih, gula, garam, penguat rasa mononatrium glutamat, bumbu bbq, pemanis buatan aspartam,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
105,Matchamu Matcha Latte,Matchamu matcha latte,Pt. matcha muda manggala,00120116540321,"0,5",1,"krimer kelapa,gula non-rafinasi,matca,pengemulsi alami","krimer kelapa, gula non-rafinasi, matca, pengemulsi alami.",krimer kelapa, gula nonrafinasi, matca, pengemulsi alami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
106,D'veggie Sambal Tabur Daun Jeruk,D'veggie sambal tabur rasa daun jeruk,Pt. indoveggie makmur sentosa,00060107481020,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
107,Tulip Milk Chocolate Compound,Tulip chocolatier milk chocolate compound,Pt. freyabadi indotama, 00110004850699,"0,5",1,"lemak nabati,gula,susu bubuk,Pengemulsi Lesitin Kedelai,perisa sintetik Vanili,susu","lemak nabati, gula, susu bubuk, pengemulsi lesitin kedelai, perisa sintetik (vanilla, susu)",lemak nabati, gula, susu bubuk, pengemulsi lesitin kedelai, perisa sintetik vanilla, susu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
109,D'veggie Sambal Tabur Rumput Laut,D'veggie sambal tabur rasa rumput laut,Pt. indoveggie makmur sentosa,00060107481020,"0,5",1,kosong,kosong,kosong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majelis Ulama Indonesia,,,Halal
110,Sedaap Mie Instant Goreng Ayam Krispi,Mie sedaap instant mi goreng rasa ayam krispi,Prakarsa alam segar pt.,00090036380805,"0,5",1,"tepung terigu,minyak nabati,garam,pengental nabati,pengatur keasaman,tartrazin ci,zat besi,gula,garam,penguat rasa,perisa artifisial ayam,bubuk bawang merah,Perisa Alamii bawang putih,bubuk lada,vitamin b,bawang merah,kecap manis,gula,air,garam,kedelai,pengawet,penguat rasa,air,Cabai,gula,garam,tepung,bawang putih,cuka,pengawet,bawang gurih","tepung terigu, minyak nabati (mengandung antioksidan tbhq), garam, pengental nabati, pengatur keasaman, pewarna (tartrazin ci ), zat besi. bumbu: gula, garam, penguat rasa, perisa artifisial ayam, bubuk bawang merah, perisa alami bawang putih, bubuk lada, vitamin (niasin, b, b, b, a mengandung antioksidan dan bawang merah. kecap manis: gula, air, garam, kedelai, pengawet, penguat rasa. saus cabe: air, cabe, gula, garam, tepung, bawang putih, cuka, pengawet , penguat rasa. bawang gurih.",tepung terigu, minyak nabati mengandung antioksidan tbhq, garam, pengental nabati, pengatur keasaman, pewarna tartrazin ci , zat besi bumbu gula, garam, penguat rasa, perisa artifisial ayam, bubuk bawang merah, perisa alami bawang putih, bubuk lada, vitamin niasin, b, b, b, a mengandung antioksidan dan bawang merah kecap manis gula, air, garam, kedelai, pengawet, penguat rasa saus cabe air, cabe, gula, garam, tepung, bawang putih, cuka, pengawet , penguat rasa. bawang gurih.,,,,,Majelis Ulama Indonesia,,,Halal
