,Produk,produkindo,produkmui,produsen,sertif,nilai
473,Dua Kelinci Snack Krip Krip Tortilla Jagung Bakar|Krip-krip tortilla rasa jagung bakar|Pt. dua kelinci|00100017571001|0.4,Dua Kelinci Snack Krip Krip Tortilla Jagung Bakar,Krip-krip tortilla rasa jagung bakar,Pt. dua kelinci,00100017571001,0.4
782,Nabati Gatito Lidah Kucing Sandwich Cheese|Nabati gatito langue-de-chat assorted sandwich cookies chocolate | cheese|Pt. kaldu sari nabati indonesia|0.4,Nabati Gatito Lidah Kucing Sandwich Cheese,Nabati gatito langue-de-chat assorted sandwich cookies chocolate , cheese,Pt. kaldu sari nabati indonesia,0.4
1147,Sedaap Mie Instant Kari Ayam|Mie sedaap rasa kari ayam|Prakarsa alam segar pt.|00090036380805|0.4,Sedaap Mie Instant Kari Ayam,Mie sedaap rasa kari ayam,Prakarsa alam segar pt.,00090036380805,0.4
507,Khong Guan Crackers Malkist Kelapa|Khong guan malkist kelapa|Pt. khong guan biscuit factory indonesia ltd|00100039280306|0.4,Khong Guan Crackers Malkist Kelapa,Khong guan malkist kelapa,Pt. khong guan biscuit factory indonesia ltd,00100039280306,0.4
988,Indomaret Keripik Singkong Tradisional|Keripik singkong|Keripik berkah|02120017021120|0.4,Indomaret Keripik Singkong Tradisional,Keripik singkong,Keripik berkah,02120017021120,0.4
590,Ichitan Thai Milk Green Tea Drink|Tea and tea thai green milk tea|Cv.maju sari teh|15120039090819|0.4,Ichitan Thai Milk Green Tea Drink,Tea and tea thai green milk tea,Cv.maju sari teh,15120039090819,0.4
419,Chitato Snack Potato Chips Sapi Panggang|Hana snack potato bambu rasa sapi panggang|Rdmk hana snack|15100026040817|0.4,Chitato Snack Potato Chips Sapi Panggang,Hana snack potato bambu rasa sapi panggang,Rdmk hana snack,15100026040817,0.4
518,Kacang Telor|Kacang telor rds production|Riyadussa'adah|00100115030221|0.4,Kacang Telor,Kacang telor rds production,Riyadussa'adah,00100115030221,0.4
1102,"Samyang Mie Instant Goreng Pedas Ayam|Mie goreng ayam asam pedas|Delta aerosupport, pt|15160024850517|0.4",Samyang Mie Instant Goreng Pedas Ayam,Mie goreng ayam asam pedas,"Delta aerosupport, pt",15160024850517,0.4
221,Kapal Api Kopi Bubuk Special|Kapal api - kopi bubuk|Pt. santos jaya abadi|00120017110901|0.4,Kapal Api Kopi Bubuk Special,Kapal api - kopi bubuk,Pt. santos jaya abadi,00120017110901,0.4
222,Nescafe Black Coffee|Roti black coffee|Esthree|15160029640418|0.4,Nescafe Black Coffee,Roti black coffee,Esthree,15160029640418,0.4
765,Nissin Biscuit Kelapa Ijo Kurma|Nissin biskuit rasa kelapa ijo dan kurma|Pt. monde mahkota biskuit|00100039290306|0.4,Nissin Biscuit Kelapa Ijo Kurma,Nissin biskuit rasa kelapa ijo dan kurma,Pt. monde mahkota biskuit,00100039290306,0.4
145,Excelso Kopi Arabica|Kopi donomerto arabica|Ppkopkdl kopi donomerto|15120045280320|0.4,Excelso Kopi Arabica,Kopi donomerto arabica,Ppkopkdl kopi donomerto,15120045280320,0.4
576,Aik Cheong Teh Tarik|Teh tarik az-zikra|Teh tarik az-zikra|05120022680221|0.4,Aik Cheong Teh Tarik,Teh tarik az-zikra,Teh tarik az-zikra,05120022680221,0.4
231,Top Coffee Kopi Gula Susu 3 In 1|Seruput minuman serbuk kopi gula susu 3 in 1|Pt. mitraboga kreasi prima| 00120097370719|0.4,Top Coffee Kopi Gula Susu 3 In 1,Seruput minuman serbuk kopi gula susu 3 in 1,Pt. mitraboga kreasi prima, 00120097370719,0.4
770,Nestle Snack Crunch Chips Chocolate Originale|Crunch chips chocolate originale|Pt. savoria kreasi rasa|00100051350809|0.4,Nestle Snack Crunch Chips Chocolate Originale,Crunch chips chocolate originale,Pt. savoria kreasi rasa,00100051350809,0.4
958,Tao Kae Noi Big Bang Grilled Seaweed Classic|Tao kae noi big bang classic flavour|Tao kae noi food &amp; marketing public company limited|00100078080816|0.4,Tao Kae Noi Big Bang Grilled Seaweed Classic,Tao kae noi big bang classic flavour,Tao kae noi food &amp; marketing public company limited,00100078080816,0.4
903,Roma Crackers Malkist Keju Manis|Roma malkist krim keju manis|Pt. mayora indah tbk|00100014301200|0.4,Roma Crackers Malkist Keju Manis,Roma malkist krim keju manis,Pt. mayora indah tbk,00100014301200,0.4
900,Roma Wafer Wafello Italia Butter Caramel|Roma wafello butter caramel|Pt. mayora indah tbk|00100014301200|0.4,Roma Wafer Wafello Italia Butter Caramel,Roma wafello butter caramel,Pt. mayora indah tbk,00100014301200,0.4
246,Cap Badak Larutan Penyegar Putih|Larutan penyegar cap badak (kaleng)|Resto halal kendedes syaifudin|00160097160719|0.4,Cap Badak Larutan Penyegar Putih,Larutan penyegar cap badak (kaleng),Resto halal kendedes syaifudin,00160097160719,0.4
